source_id,strate,population_strate,n_tire,poids_strate
716864,H2020-CS2-,543,59,0.342587
893864,H2020-SESAR-,149,16,0.094006
755610,H2020-CS2-,543,59,0.342587
270584,SP1-JTI-CS-,486,53,0.306625
945529,H2020-IBA-CS2-GAMS-,11,11,0.006940
265695,FP7-AAT-,233,26,0.147003
323408,SP1-JTI-CS-,486,53,0.306625
891287,H2020-SESAR-,149,16,0.094006
267309,SP1-JTI-CS-,486,53,0.306625
865416,H2020-CS2-,543,59,0.342587
738028,H2020-CS2-,543,59,0.342587
101140499,HORIZON-JU-Clean-Aviation-,40,15,0.025237
890378,H2020-SESAR-,149,16,0.094006
604013,FP7-AAT-,233,26,0.147003
821375,H2020-CS2-,543,59,0.342587
945549,H2020-IBA-CS2-GAMS-,11,11,0.006940
285842,SP1-JTI-CS-,486,53,0.306625
821233,H2020-CS2-,543,59,0.342587
314061,FP7-AAT-,233,26,0.147003
620120,SP1-JTI-CS-,486,53,0.306625
101255065,HORIZON-JU-Clean-Aviation-,40,15,0.025237
821079,H2020-CS2-,543,59,0.342587
101102020,HORIZON-JU-Clean-Aviation-,40,15,0.025237
307869,SP1-JTI-CS-,486,53,0.306625
285050,FP7-AAT-,233,26,0.147003
278366,SP1-JTI-CS-,486,53,0.306625
864726,H2020-CS2-,543,59,0.342587
783178,H2020-SESAR-,149,16,0.094006
641553,SP1-JTI-CS-,486,53,0.306625
101166886,HORIZON-SESAR-,116,13,0.073186
326000,SP1-JTI-CS-,486,53,0.306625
807085,H2020-IBA-CS2-GAMS-,11,11,0.006940
717064,H2020-CS2-,543,59,0.342587
999905,JTI-CS-,7,7,0.004416
821300,H2020-CS2-,543,59,0.342587
101102003,HORIZON-JU-Clean-Aviation-,40,15,0.025237
865118,H2020-CS2-,543,59,0.342587
820997,H2020-CS2-,543,59,0.342587
101007712,H2020-CS2-,543,59,0.342587
785539,H2020-CS2-,543,59,0.342587
632456,SP1-JTI-CS-,486,53,0.306625
785520,H2020-CS2-,543,59,0.342587
831815,H2020-CS2-,543,59,0.342587
278415,SP1-JTI-CS-,486,53,0.306625
641592,SP1-JTI-CS-,486,53,0.306625
699247,H2020-SESAR-,149,16,0.094006
783198,H2020-SESAR-,149,16,0.094006
266073,FP7-AAT-,233,26,0.147003
101256789,HORIZON-JU-Clean-Aviation-,40,15,0.025237
323047,FP7-AAT-,233,26,0.147003
101286387,HORIZON-SESAR-,116,13,0.073186
101114748,HORIZON-SESAR-,116,13,0.073186
307612,SP1-JTI-CS-,486,53,0.306625
632556,SP1-JTI-CS-,486,53,0.306625
999907,JTI-CS-,7,7,0.004416
738114,H2020-CS2-,543,59,0.342587
807081,H2020-IBA-CS2-GAMS-,11,11,0.006940
717186,H2020-CS2-,543,59,0.342587
270561,SP1-JTI-CS-,486,53,0.306625
252045,SP1-JTI-CS-,486,53,0.306625
296543,SP1-JTI-CS-,486,53,0.306625
717091,H2020-CS2-,543,59,0.342587
101251003,HORIZON-JU-Clean-Aviation-,40,15,0.025237
714249,H2020-CS2-,543,59,0.342587
101114733,HORIZON-SESAR-,116,13,0.073186
211861,FP7-AAT-,233,26,0.147003
807090,H2020-IBA-CS2-GAMS-,11,11,0.006940
865131,H2020-CS2-,543,59,0.342587
101101961,HORIZON-JU-Clean-Aviation-,40,15,0.025237
101114838,HORIZON-SESAR-,116,13,0.073186
831993,H2020-CS2-,543,59,0.342587
686711,H2020-CS2-,543,59,0.342587
336948,SP1-JTI-CS-,486,53,0.306625
831848,H2020-CS2-,543,59,0.342587
323475,SP1-JTI-CS-,486,53,0.306625
278170,SP1-JTI-CS-,486,53,0.306625
323427,SP1-JTI-CS-,486,53,0.306625
731781,H2020-SESAR-,149,16,0.094006
887240,H2020-CS2-,543,59,0.342587
821297,H2020-CS2-,543,59,0.342587
714246,H2020-CS2-,543,59,0.342587
284881,FP7-AAT-,233,26,0.147003
314180,FP7-AAT-,233,26,0.147003
807087,H2020-IBA-CS2-GAMS-,11,11,0.006940
641543,SP1-JTI-CS-,486,53,0.306625
999902,JTI-CS-,7,7,0.004416
255689,SP1-JTI-CS-,486,53,0.306625
296549,SP1-JTI-CS-,486,53,0.306625
341531,FP7-AAT-,233,26,0.147003
807089,H2020-IBA-CS2-GAMS-,11,11,0.006940
308968,FP7-AAT-,233,26,0.147003
821270,H2020-CS2-,543,59,0.342587
887174,H2020-CS2-,543,59,0.342587
296613,SP1-JTI-CS-,486,53,0.306625
