review_id,source_id,acronym,titre,resume_complet,mon_label,note
1,716864,DADIYSO COMP,DESIGN AGAINST DISTORTION WITH LAYUP AND SHAPE OPTIMIZATION OF CARBON-EPOXY AEROSPACE COMPOSITES,"In the “DADIYSO COMP” project Swerea SICOMP covers the entire topic and will be the only partner. Swerea SICOMP will develop an FE-based simulation tool for rapid predictions of cure induced part distortions including sub models for cure kinetics, glass transition, and constitutive relations among other aspects. A balance between accuracy, complexity, and simulation time will be achieved which will enable the tool to be used for optimization purposes. Carbon-epoxy distortion calibration coupons and small demonstrator parts will be manufactured and measured to validate the simulation tool for rapid cure distortion predictions. The final simulation tool for cure distortions will be included in an optimisation framework to allow for shape and layup optimisation to account for cure induced part distortions. The optimization framework will evaluate which areas within the part have the most significant contribution to global distortion, and then adjust the tool/part shape and material layup in these areas to minimize the effects of distortion. Also an efficient part data (CAD + ply-book) to CAE interfacing method will be developed to import a part design into the optimisation environment, as well as the reverse process. Emphasis will be on creating tools that are accurate and robust, while maintaining a level of complexity that would not be overwhelming for a non-expert engineer in either cure distortion or optimization. Finally the entire package will be demonstrated on one or more use cases together with the topic manager. The final result of DADIYSO COMP will help designers to predict and prevent distortion in a reliable manner as well as give ideas on how to improve the design for manufacturing",,
2,893864,DACUS,Demand and Capacity Optimisation in U-space,"DACUS aims at the development of a service-oriented Demand and Capacity Balancing (DCB) process for drone traffic management. This overall objective responds to an operational and technical need in European drone operations for a tangible solution integrating the functionalities of the SESAR U-space services for Drone Traffic Management (DTM) to produce timely, efficient and safe decisions.The project intends to integrate in a consistent DCB solution the relevant demand and capacity influence factors (such as CNS performances availability), definitions (such as airspace structure), processes (such as separation management), and services (such as Strategic and Tactical Conflict Resolution). Therefore, to achieve the overall DACUS objective, five specific objectives are set:1. Develop a drone DCB process, from strategic to tactical phase, integrating uncertainty of planned operations and guided by the definition of a U-space performance scheme that include the development of metrics for airspace capacity appropriate for an environment with no human controller.2. Develop innovative services algorithms and enabling models and technologies as functional blocks of DCB process, able to support large number of simultaneous operations and to design and manage efficient and safe drone trajectories.3. Define a structure for Very Low Level (VLL) airspace and a set of airspace rules that optimises the trade-off between capacity and safety, including the definition of separation management process.4. Find the optimal balance between on-board separation intelligence and U-space separation service intelligence in tactical separation depending.5. Refine Communication, Navigation and Surveillance (CNS) requirements in support of tactical and procedural separation, with a focus on urban environment.",,
3,755610,AlForAMA,Innovative Al alloy For aircraft structural parts using Additive MAnufacturing technology,"The main goal of AlForAMA project is to develop an innovative High Strength Al alloy, feasible by powder metallurgy and suitable for Selective Laser Melting (SLM), with improved weldability and increased mechanical and corrosion resistance in comparison to cast grades Al alloys currently employed in Additive Manufacturing (AM).AlForAMA project is focused on powder bed based additive manufacturing (AM) of the innovative Al alloy. Selective Laser Melting (SLM), that utilizes a laser as a thermal energy source to melt the powder has been chosen as the preferred AM technology.Development of the innovative aluminium alloy specifically designed for SLM will be mainly focused on two different aspects: on one hand, on tailoring the chemical composition to improve processability and/or mechanical response of well-established commercial aluminium alloys and, on the other hand, on defining the specific P/M processing of the raw powder material.Raw materials for SLM, produced in a powder form, will be obtained by atomization process or, alternatively, by a mixing procedure of different starting powders.A suitable heat treatment will be defined for the developed innovative Al alloy after its SLM processing. To optimize thermal treatments AlForAMA project will consider the specific microstructural characteristics that SLM generates. SLM process development will be performed to ensure a defect free material manufacturing. A deep characterization of the new material will be carried out including mechanical, chemical and corrosion aspects. Afterwards the manufacturing process will be validated at component level.The AlForAMA project will be developed by a well-balanced consortium that brings together 3 partners: the technical institutes LORTEK and IMDEA (Spain) and the university KU LEUVEN (Belgium).",,
4,270584,ELTESTSYS,ELECTRICAL TEST BENCH DRIVE SYSTEMS: MECHANICAL INTERFACES,"The aim of this project is to design, manufacture, commissioning and validation of four complete and identical driving systems for a ground test bench intended to be used for aircraft starters/generators testing. The four driving systems will be integrated in one single product and will function simultaneously or not, independently and/or interdependently. Each system will drive one single generator or starter/generator and will be able to simulate electrical start of the aircraft engine, as well as electrical generation. Any two of the four drive systems will have the possibility to be synchronised in speed and position. The four drives will be locally or remote controlled and will be integrated with ancillaries available at the place of use. A complete measurement channel will deserve the entire test bench.In order to achieve a unitary test bench with low maintenance costs, we will implement innovative solutions based on the latest technologies in the fields of mechanical and electrical drives, mechanical transmissions, measurements. The proposed systems are complete and include four DC motors (with maxim power of 160 kW each) with associated electronics. This will completely fulfil the imposed condition of identical systems.Innovative aspects of the proposal are: mechanical transmissions with high efficiency by using recess gear system and polygonal shafts; bidirectional and birotational speed multiplier; non-contacting measuring of torques and speeds; use of specialized software for complete system configuration and management. The systems will be environmental friendly, will have low noise emission and will use a reduced amount of oil. The main characteristics and capabilities required by the CfP will be satisfied.",,
5,945529,GAM-2020-TE2,TA “Technology Evaluator” (GAM-2020-TE2),This Grant Agreement refers to TE activities in the period 2020 to mid 2024.,,
6,265695,AFDAR,Advanced Flow Diagnostics for Aeronautical Research,"The objective of AFDAR is to develop, assess and demonstrate new image-based experimental technologies for the analysis of aerodynamic systems and aerospace propulsion components. The main development focus is on new three-dimensional methods based on Particle Image Velocimetry (PIV) to measure the flow field around aircraft components, and on the high-speed version of the planar technique for the analysis in time-resolved regime of transient/unsteady aerodynamic problems. The progress beyond the state of the art with respect to current technologies is summarized by three aimed breakthroughs: 1) three-dimensional volumetric measurements over wings and airfoils; 2) time-resolved measurements and aerodynamic analysis several orders of magnitude faster than today; 3) turbulence characterization in aerodynamics wind-tunnels at resolution orders of magnitude higher than today by Long-Range Micro-PIV. The project ultimately aims to support the design of better aircraft and propulsion systems by enabling the designer to use experimental data during the development cycle of unprecedented completeness and quality. The work also covers the simultaneous application of PIV-based techniques and other methods to determine aeroacoustic noise emissions from airframe and to improve combustion processes to lower NOx, CO2 and soot emissions from engines.The consortium is led by a Dutch Technical University and lists 10 partners including a Russian research Institute and an Australian University. Three industries are involved in this work either as participant or contributing under subcontract and providing testing facilities.As final results of the project, a detailed analysis of the new measurement systems will be delivered and a number of demonstrations will be performed to validate the concepts in industrial environments. Special emphasis is given to the dissemination of results by meetings, publications and workshops.",,
7,323408,EPOCAL,EPOCAL: an Electrical POwer Center for Aeronautical Loads,"The main objective of the current proposal is the development of an Electrical Power Center (EPC) integrated with a devoted Control Console (CC), enhanced with advanced electrical power management strategies. The proposal is based on the following keypoints:1) an Electrical Power Center equipped with Solid State Power Controllers (SSPCs) for both energy management and protection functions will be implemented. Most recent technologies will be included in the power center, referring to the recent state-of-art, in order to guarantee compliance with selected aeronautical standards. The SSPC component will be ad-hoc designed for the implementation of both the power management strategies and protection functionalities.2) a firmware will be implemented for monitoring and supervision of the EPC, particularly referring to Electrical-Energy Management (E-EM) concept verification. The EPC will be equipped with a software able to perform several analysis, referring to preprocessing (i.e. configurations pretesting), (i.e. monitoring and energy management logics implementation) and postprocessing (i.e. plotting and comparison between measured and simulated quantities).The proposed Project follows a typical workflow based on requirements analysis, specs derivation, design phase, physical implementation, testing phase, results analysis versus simulations and final equipment validation.",,
8,891287,IMHOTEP,Integrated Multimodal Airport Operations for Efficient Passenger Flow Management,"The airport of the future is expected to become a multimodal connection platform, creating the conditions for travellers to reach their destination by the most efficient and sustainable combination of modes and allowing the airport and its surrounding region to make a better use of their resources. The goal of IMHOTEP is to develop a concept of operations and a set of data analysis methods, predictive models and decision support tools that allow information sharing, common situational awareness and real-time collaborative decision-making between airports and ground transport stakeholders. The specific objectives of the project are the following:1. Propose a concept of operations for the extension of airport collaborative decision-making to ground transport stakeholders, including local transport authorities, traffic agencies, transport operators and mobility service providers.2. Develop new data collection, analysis and fusion methods able to provide a comprehensive view of the door-to-door passenger trajectory through the coherent integration of different types of high resolution passenger movement data collected from personal mobile devices and digital sensors.3. Develop predictive models and decision support tools able to anticipate the evolution of an airport’s passenger flows within the day of operations and assess the operational impact on both airport processes and the ground transport system, with the aim of enabling real-time collaborative decision-making between airports and ground transport stakeholders and enhanced passenger information services.4. Validate the proposed concept and the newly developed methods and tools through a set of case studies conducted in direct collaboration with airports, local transport authorities and transport operators. The case studies will cover two airports with heterogeneous characteristics and serving different markets, namely the Palma de Mallorca and the London City airports.",,
9,267309,TILTOP,Efficient Shape Optimization of Intake and Exhaust of a Tiltrotor Nacelle,"The present proposal describes the methodology to be used for an efficient optimization of both the intake and exhaust geometry of a tiltrotor nacelle. Specific objectives of such activity are the following: i) to set up of a comprehensive and fully automatic optimal design tool, integrating the software in use at the GRC consortium and in-house optimizer already developed by the applicant; ii) to implement efficient and robust optimization strategies which help the obtainment of optimal geometry using reasonable computing time; iii) to implement, test and run such tool within the industrial design procedure currently available at the GRC consortium; iv) to apply such tool for the efficiency improvement of both the nacelle intake and the exhaust ducts in order to achieve a significant reduction in the nacelle installation losses.MethodologyObjectives i) and iii) will be achieved by means of a dedicated programming activity where the software tools will be interfaced together and with the proprietary optimization tool by the applicant. The result will be a procedure where meshing, geometrical/grid manipulation, as well as CFD analyses will form an automatic loop. Objective ii) will be guaranteed by the capability of the optimizer to efficiently handle complex multiobjective problems; the optimization chain will be conceived in such a way that the user can interact with the optimizer and monitor the whole process as it takes place. Objective iv) will be pursued by applying the optimization tool to review  the basic intake and exhaust design, with the aim of minimizing any detrimental effects on both drag and engine installation. Finally, the optimized geometry will be checked for compliance with feasibility constraints in order to accomplish industrial needs for prototyping and testing.",,
10,865416,AS-DISCO,AS-DISCO - Audio Suite for Disruptive Cockpit Demonstrator,"This proposal answer to the call proposal identified with the code JTI-CS2-2018-CfP09-LPA-03-17, which belongs to the European program Clean Sky 2. The proposal presents AS-DISCO project which main objective is to define and implement IMA concept for Audio Communications Manager.This project will consequently contribute to the innovative and disruptive new aircraft cockpit concepts validation on LPA-Platform 3, by building an application for the integrated demonstrator, where several avionics innovative functions, as well to modern interface technologies, are being developed. Therefore, AS-DISCO project attends to Clean Sky aim to reduce flight crew workload, improve pilot situational awareness, and support disruptive and innovative cockpit operations. To achieve the specific objective of this project that is in achieving TRL6 of the enabling software technology to meet the desired functionality during the integration on DISCO bench; AS-DISCO will consider Clean Sky targets such as integration within innovative multimodal Human Machine Interface (HMI), based upon visual, tactile, voice, … and innovative digital functions for audio management to deliver the necessary robustness, flexibility and versatility, and accommodate them for new generation of systems. AS-DISCO proposed by AERTEC, is a software solution built on several ARINC-653 compliant partitions and based on the Publish-Subscribe communication pattern for the data and network packets routing. The functionality provided by the proposed routing solution will be based on the usage of statically defined routing tables to define point-to-point or point-to-multipoint communications data path. The AERTEC development AS-DISCO will be integrated with Remote Systems, such as HMI, cabin systems, etc. With only the need to update the static routing tables, the associated IDL and the inclusion of the corresponding operating system drivers. Under the requirements and specifications stablished by the Topic Manager, AERTEC will be developed a serious of models to verify the correct behaviour and the system response to different scenarios using MBSE tools, firstly in TRL5 level. AERTEC will apply Test-Based-Model (TBM) and software-in-the-loop (SIL) methodology to the entire system. The modelling will also facilitate the development of “degraded mode identification”, “reconfiguration patterns” criteria and AFDX protocol. After a decision gate (if GO decision) the model will be updated to TRL6 requirements and specifications, and the activities to perform the full functionalities of the AS-DISCO. Verification and validation process will be performed also in Platform3 System demonstrator. Evidences and results will be collected in a report to evaluate the maturity of the AS-DISCO development at TRL6 level.",,
